run_id,method,reward_mode,sampling_strategy,epsilon_start,epsilon_end,epsilon_decay,top_m,temperature,ucb_c,exact_reward,default_reward,same_token_reward,field_reward,same_field_type_reward,score_mode,critic_score_weight,checkpoint,search_limits,R@1,R@3,R@5,R@10,R@20,first_rank,reached,targets,recall_all,notes
20260425T182100Z,updated_policy,baseline,epsilon_top_m,0.05,0.02,0.8,5,,,,,,,,,,Results/Models/sft_states_ep0.pt,e50-b4-na,0.4147999382048509,0.78371697821721,0.848524640815696,0.9182759153406458,0.9547350532983161,2.76*12373,,,0.955739224470879,2026-04-25 regenerated PlotlyTable2Charts formal final eval extracted from tracked [test-summary] log; model_dir=Results/Models/20260425104442-2el192fd128.128GRUh-allCharts-RL; log_path=Results/Models/20260425104442-2el192fd128.128GRUh-allCharts-RL/evaluations/test-epsilon-eps005-top5-20260425/[test-summary]20260425T1821.log; t_cnt=12946
20260425T182600Z,updated_policy,baseline,epsilon_top_m,0.10,0.02,0.8,5,,,,,,,,,,Results/Models/sft_states_ep0.pt,e50-b4-na,0.4017457129615325,0.7562181368762552,0.8318399505638807,0.9046037386065194,0.956434419898038,3.00*12396,,,0.9575158350069519,2026-04-25 regenerated PlotlyTable2Charts formal final eval extracted from tracked [test-summary] log; model_dir=Results/Models/20260425110039-2el192fd128.128GRUh-allCharts-RL; log_path=Results/Models/20260425110039-2el192fd128.128GRUh-allCharts-RL/evaluations/test-epsilon-eps010-top5-20260425/[test-summary]20260425T1826.log; t_cnt=12946
20260425T183200Z,updated_policy,baseline,epsilon_top_m,0.20,0.02,0.8,5,,,,,,,,,,Results/Models/sft_states_ep0.pt,e50-b4-na,0.4253051135485864,0.7947628611154024,0.8607291827591534,0.9217518924764406,0.956666151707091,2.64*12390,,,0.957052371388846,2026-04-25 regenerated PlotlyTable2Charts formal final eval extracted from tracked [test-summary] log; model_dir=Results/Models/20260425111651-2el192fd128.128GRUh-allCharts-RL; log_path=Results/Models/20260425111651-2el192fd128.128GRUh-allCharts-RL/evaluations/test-epsilon-eps020-top5-20260425/[test-summary]20260425T1832.log; t_cnt=12946
20260425T183800Z,updated_policy,baseline,epsilon_top_m,0.30,0.02,0.8,5,,,,,,,,,,Results/Models/sft_states_ep0.pt,e50-b4-na,0.4171172562953808,0.7735980225552295,0.8441989803800402,0.9184304032133478,0.9529584427622432,2.71*12337,,,0.9529584427622432,2026-04-25 regenerated PlotlyTable2Charts formal final eval extracted from tracked [test-summary] log; model_dir=Results/Models/20260425113303-2el192fd128.128GRUh-allCharts-RL; log_path=Results/Models/20260425113303-2el192fd128.128GRUh-allCharts-RL/evaluations/test-epsilon-eps030-top5-20260425/[test-summary]20260425T1838.log; t_cnt=12946
20260425T233100Z,update_reward,soft_reward,greedy,,,,,,,0.95,0.05,0.07,0.1,0.2,,,Results/Models/sft_states_ep0.pt,e50-b4-na,0.41572686544106285,0.7434728873783408,0.8309902672640198,0.9005098099799166,0.9378958751737989,3.16*12330,,,0.9524177352077862,2026-04-25 authoritative helper-managed full rerun formal final eval extracted from tracked [test-summary] log; model_dir=Results/Models/20260425225417-2el192fd128.128GRUh-allCharts-RL; log_path=Results/Models/20260425225417-2el192fd128.128GRUh-allCharts-RL/evaluations/test-reward_conservative_greedy-20260425T145405Z/[test-summary]20260425T2331.log; t_cnt=12946
20260426T001700Z,update_reward_policy,soft_reward,epsilon_top_m,0.2,0.02,0.8,5,,,0.95,0.05,0.07,0.1,0.2,,,Results/Models/sft_states_ep0.pt,e50-b4-na,0.40738452031515526,0.6911787424687162,0.7864977599258458,0.89147226942685,0.9343426541016531,3.42*12277,,,0.9483238065811834,2026-04-25 authoritative helper-managed full rerun formal final eval extracted from tracked [test-summary] log; model_dir=Results/Models/20260425233742-2el192fd128.128GRUh-allCharts-RL; log_path=Results/Models/20260425233742-2el192fd128.128GRUh-allCharts-RL/evaluations/test-reward_conservative_epsilon-20260425T145405Z/[test-summary]20260426T0017.log; t_cnt=12946
20260426T010400Z,update_reward,soft_reward,greedy,,,,,,,0.95,0.05,0.1,0.15,0.35,,,Results/Models/sft_states_ep0.pt,e50-b4-na,0.413873010968639,0.7453267418507648,0.8097481847674958,0.8773366290746176,0.9377413873010969,3.33*12334,,,0.9527267109531902,2026-04-25 authoritative helper-managed full rerun formal final eval extracted from tracked [test-summary] log; model_dir=Results/Models/20260426002411-2el192fd128.128GRUh-allCharts-RL; log_path=Results/Models/20260426002411-2el192fd128.128GRUh-allCharts-RL/evaluations/test-reward_current_greedy-20260425T145405Z/[test-summary]20260426T0104.log; t_cnt=12946
20260426T015000Z,update_reward_policy,soft_reward,epsilon_top_m,0.2,0.02,0.8,5,,,0.95,0.05,0.1,0.15,0.35,,,Results/Models/sft_states_ep0.pt,e50-b4-na,0.40977908234203614,0.6758071991348679,0.7925227869612236,0.8882280241001081,0.9253823574849375,3.42*12211,,,0.9432257067820176,2026-04-25 authoritative helper-managed full rerun formal final eval extracted from tracked [test-summary] log; model_dir=Results/Models/20260426011130-2el192fd128.128GRUh-allCharts-RL; log_path=Results/Models/20260426011130-2el192fd128.128GRUh-allCharts-RL/evaluations/test-reward_current_epsilon-20260425T145405Z/[test-summary]20260426T0150.log; t_cnt=12946
20260426T023800Z,update_reward,soft_reward,greedy,,,,,,,0.95,0.05,0.15,0.25,0.5,,,Results/Models/sft_states_ep0.pt,e50-b4-na,0.4078479839332612,0.7363664452340491,0.8027962304959061,0.871079870230187,0.9137957670322879,3.01*11943,,,0.9225243318399505,2026-04-25 authoritative helper-managed full rerun formal final eval extracted from tracked [test-summary] log; model_dir=Results/Models/20260426015649-2el192fd128.128GRUh-allCharts-RL; log_path=Results/Models/20260426015649-2el192fd128.128GRUh-allCharts-RL/evaluations/test-reward_aggressive_greedy-20260425T145405Z/[test-summary]20260426T0238.log; t_cnt=12946
20260426T032500Z,update_reward_policy,soft_reward,epsilon_top_m,0.2,0.02,0.8,5,,,0.95,0.05,0.15,0.25,0.5,,,Results/Models/sft_states_ep0.pt,e50-b4-na,0.41039703383284415,0.7253978062722076,0.7942993974972965,0.8702301869303259,0.932875019310984,3.25*12153,,,0.9387455584736598,2026-04-25 authoritative helper-managed full rerun formal final eval extracted from tracked [test-summary] log; model_dir=Results/Models/20260426024531-2el192fd128.128GRUh-allCharts-RL; log_path=Results/Models/20260426024531-2el192fd128.128GRUh-allCharts-RL/evaluations/test-reward_aggressive_epsilon-20260425T145405Z/[test-summary]20260426T0325.log; t_cnt=12946
20260426T052504Z,baseline,baseline,greedy,,,,,,,,,,,,,,Results/Models/sft_states_ep0.pt,e50-b4-na,0.4005870539162676,0.759771357948401,0.8312219990730728,0.9093928626602812,0.9507956125444152,2.93*12324,,,0.9519542715896802,2026-04-26 regenerated PlotlyTable2Charts hard reward greedy formal final eval extracted from tracked [test-summary] log; model_dir=Results/Models/20260426132527-2el192fd128.128GRUh-allCharts-RL; log_path=Results/Models/20260426132527-2el192fd128.128GRUh-allCharts-RL/evaluations/test-baseline_rl_greedy_train_eval-20260426T052504Z/[test-summary]20260426T1424.log; t_cnt=12946
